
Tarifa: Publico general 2026

Tipo,Código,Abreviatura,Descripción,Importe
Pruebas,0602,ANTITUBERCULOSIS,AC. ANTI MYCOBACTERIUM TUBERCULOSIS,0
Pruebas,2130,ANAIFI,AC. ANTI NUCLEARES POR INMUNOFLUORESCENCIA (ANA IFI),685
Pruebas,2102,CCP,AC. ANTI PEPTIDO CICLICO CITRULINADO (CCP),1020
Pruebas,2319,AcAntiRecTSH,Ac. Anti Receptor TSH,1435
Pruebas,585,SSA,AC. ANTI SSA,555
Pruebas,TIRO,TRIO,AC. ANTI TIROGLOBULINA TOTAL,710
Pruebas,599,ACANTIRO,AC. ANTI TIROGLOBULINA TOTALES,710
Pruebas,601-ORTH,TPO,AC. ANTI TIROPEROXIDASA (TPO),1140
Pruebas,2159,AcAntisTranstisIgAIgG,"Ac. Anti Transglutaminasa tisular IgA, IgG",1505
Pruebas,425,ACANMICROSOMALESTOT,AC. ANTI. MICROSOMALES TOTALES,0
Pruebas,595,SSB,ac.anti SSB,435
Pruebas,ACI ASPA B,ACIASPA,ACIDO ASPARGICO,0
Pruebas,0801,ACFOL,ACIDO FOLICO,500
Pruebas,ACI GLUTA B,ACIGLUTA,ACIDO GLUTAMICO,0
Pruebas,AURIC,AURIC,ACIDO URICO,80
Pruebas,sdc,gs,ÁCIDO ÚRICO URINARIO,80
Pruebas,6554,ACU24,ACIDO URICO URINARIO 24 HR,280
Pruebas,77,aCIDOVALPROICO,ÁCIDO VALPROICO (DEPAKENE) (ATEMPERATOR),0
Pruebas,3334,ADENOVIRUS,ADENOVIRUS HUMANO,0
Pruebas,2,adre,Adrenalina en plasma,1110
Pruebas,46416631,ARGNN,AGININA,0
Pruebas,ALANI B,ALANI,ALANINA,0
Pruebas,ALANINA,ALANINA,ALANINA,0
Pruebas,24,alb,ALBUMINA,85
Pruebas,1722-OPP,ALB24O,ALBÚMINA EN  ORINA DE 24 HRS.,0
Pruebas,1722-PP,MICROAL,ALBÚMINA URINARIA,0
Pruebas,59,ahl,Alcohol etílico en suero,388
Pruebas,70,Aldolasa,Aldolasa,358
Pruebas,81,Ald,Aldosterona en suero,995
Pruebas,148,AIE,Alérgeno individual especial,0
Pruebas,1006,Alfaantitripsina,Alfa - 1 antitripsina,0
Pruebas,97,ALFA1ANTITRIPSINA,ALFA 1 ANTITRIPSINA,1035
Pruebas,105-ORT,AFP,ALFAFETOPROTEINA,455
Pruebas,08,ALTFEL,ALT FELINO,0
Pruebas,100,ALUMINIOENSUERO,ALUMINIO EN SUERO,1295
Pruebas,AEF,AEF,AMIBA EN FRESCO,150
Pruebas,ami,ami,AMILASA,248
Pruebas,151,AM,AMONIO,248
Pruebas,163-OR,ANDFEM,ANDROSTENEDIONA,495
Pruebas,163-MASC-OTH,ANDROS,ANDROSTENEDIONA,0
Pruebas,0405,ANTIB,ANTI BORRELIA ,1065
Pruebas,1183,HELIIGM,ANTI HELICOBACTER PILORY IgM,555
Pruebas,HCV,HCV,ANTI HEPATITIS C TOTAL,648
Pruebas,ANTI RNA,ANTIRNA,ANTI RNA,1205
Pruebas,ANTITRY,ANTITRY,ANTI TRYPANOSOMA CRUZI,650
Pruebas,ASO,ASO,ANTI-ESTREPTOLISINA O,160
Pruebas,ANTICENTROMERO,ANTICENTROMERO,ANTICENTROMERO,780
Pruebas,ANTILUP,ANTILUPICO,ANTICOAGULANTE CIRCULATORIO LUPICO,0
Pruebas,2677,HER2,ANTICUERPO INMUNOHISTOQUIMICO HER2/cbB2,1400
Pruebas,ANTIMIELO,ANTIMIELO,ANTICUERPO INMUNOHISTOQUIMICO MIELOPEROXIDASA MPO,0
Pruebas,023PRIS,HPYLORI,ANTICUERPOS  DE HELICOBACTER PYLORI IgA,555
