Examen,Examen,Examen,Estudios del examen,Estudios del examen,
CHEMET,CHEMET,CHEQUEO METABOLICO,50,Creatinina sérica,
CHEMET,CHEMET,CHEQUEO METABOLICO,31,Colesterol de alta densidad (HDL),
CHEMET,CHEMET,CHEQUEO METABOLICO,32,Colesterol de baja densidad (LDL),
900,VET-BH EQUINOS,BIOMETRIA EQUINOS,BAS%,BASOFILOS,
900,VET-BH EQUINOS,BIOMETRIA EQUINOS,leuct,LEUCOCITOS TOTALES,
900,VET-BH EQUINOS,BIOMETRIA EQUINOS,NEU,NEUTROFILOS,
900,VET-BH EQUINOS,BIOMETRIA EQUINOS,EO%,EOSINOFILOS,
900,VET-BH EQUINOS,BIOMETRIA EQUINOS,MON%,MONOCITOS,
900,VET-BH EQUINOS,BIOMETRIA EQUINOS,LYM,LINFOCITOS,
900,VET-BH EQUINOS,BIOMETRIA EQUINOS,PLT,PLAQUETAS,
900,VET-BH EQUINOS,BIOMETRIA EQUINOS,MCHC,CMHC,
900,VET-BH EQUINOS,BIOMETRIA EQUINOS,VCM,Volumen globular medio,
900,VET-BH EQUINOS,BIOMETRIA EQUINOS,HCT,HEMATOCRITO,
900,VET-BH EQUINOS,BIOMETRIA EQUINOS,HGB,HEMOGLOBINA,
900,VET-BH EQUINOS,BIOMETRIA EQUINOS,RBC,GLOBULOS ROJOS,
900,VET-BH EQUINOS,BIOMETRIA EQUINOS,meta,Metamielocitos,
900,VET-BH EQUINOS,BIOMETRIA EQUINOS,FRH,FORMULA ROJA,
900,VET-BH EQUINOS,BIOMETRIA EQUINOS,FORB,FORMULA BLANCA,
900,VET-BH EQUINOS,BIOMETRIA EQUINOS,PROM,PROMIELOCITOS,
900,VET-BH EQUINOS,BIOMETRIA EQUINOS,miel,Mielocitos,
900,VET-BH EQUINOS,BIOMETRIA EQUINOS,ban,BANDAS,
900,VET-BH EQUINOS,BIOMETRIA EQUINOS,HCM- EQUIN,HCMe,
ELECTROFORESIS,ELEHEM,ELECTROFORESIS DE HEMOGLOBINA,HEMOGLOBINA A,HEMOGLOBINA A,
ELECTROFORESIS,ELEHEM,ELECTROFORESIS DE HEMOGLOBINA,HEMOGLOBINA A2,HEMOGLOBINA A2,
ELECTROFORESIS,ELEHEM,ELECTROFORESIS DE HEMOGLOBINA,HEMOGLOBINA F,HEMOGLOBINA F,
ELECTROFORESIS,ELEHEM,ELECTROFORESIS DE HEMOGLOBINA,HEMOGLOBINA D,HEMOGLOBINA D,
ELECTROFORESIS,ELEHEM,ELECTROFORESIS DE HEMOGLOBINA,HEMOGLOBINA G,HEMOGLOBINA G,
ELECTROFORESIS,ELEHEM,ELECTROFORESIS DE HEMOGLOBINA,HEMOGLOBINA S,HEMOGLOBINA S,
ELECTROFORESIS,ELEHEM,ELECTROFORESIS DE HEMOGLOBINA,HEMOGLOBINA C,HEMOGLOBINA C,
3629-ORTH,CINH,CINETICA DE HIERRO,279,TRANSFERRINA,
3629-ORTH,CINH,CINETICA DE HIERRO,Desaturac,% DE SATURACION,
3629-ORTH,CINH,CINETICA DE HIERRO,87,FERRITINA,
3629-ORTH,CINH,CINETICA DE HIERRO,9,CAPACIDAD TOTAL DE FIJACION DE HIERRO (TIBC),
