Id_examen,Codigo,Abreviatura,Descripcion,Titulo,Tiempo_proceso,Metodo,Permite_venta_directa,Costo,Comision,Sexo,Indicaciones,Notas,Notas_internas,Titulo_alineacion,Titulo_color,
387,170,PCR MYCOBACT,PCR DETECCION  MYCOBACTERIUM TUBERCULOSIS,PCR DETECCION  MYCOBACTERIUM TUBERCULOSIS, 5 días,PCR Tiempo Real,Si,0.00,0.00,Ambos,"Expectoración*, lavado bronquial*, orina casual, líquidos orgánicos sin hemolisis, sangre/EDTA, biopsia en solución salina* (estabilidad 24 hrs de 2-8º)y/o bloques de parafina. En caso de biopsias se agrega un día mas en el tiempo de entrega.",,,Alineado a la izquierda,,
388,571,AC ANT CITO  P y C ANCA,ANTICUERPOS ANTI CITOPLASMA DE NEUTROFILOS (P y C ANCA),ANTICUERPOS ANTI CITOPLASMA DE NEUTROFILOS (P y C ANCA), 4 días,INMUNOENSAYO ENZIMÁTICO,Si,0.00,0.00,Ambos,AYUNO. SUERO 2 mL.,,,Alineado a la izquierda,,
389,339,AC FOSFO,"AC. ANTI FOSFOLÍPIDOS IgG, IgM","AC. ANTI FOSFOLÍPIDOS IgG, IgM", 7 días,INMUNOENSAYO ENZIMATICO (ELISA).,Si,0.00,0.00,Ambos,"Suero 2 mL.\nTiempo de entrega: Días de proceso solo MIERCOLES y SÁBADO, muestra debe llegar antes de medio día.",,,Alineado a la izquierda,,
390,145,CH- BOV,CITOMETRIA HEMATICA BOVINO,CITOMETRIA HEMATICA BOVINO,,"CITOMETRIA DE FLUJO, MICROSCOPIA, IMPEDANCIA",Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
391,1735,PSATL,ANTÍGENO PROSTÁTICO ESPECÍFICO TOTAL Y LIBRE,ANTÍGENO PROSTÁTICO ESPECÍFICO TOTAL Y LIBRE, 2 días,QUIMIOLUMINICENCIA (C.M.I.A),Si,0.00,0.00,Masculino,Suero 2 mL.\nRESULTADO: 2 DIAS HABILES,,,Alineado a la izquierda,,
393,2954-ORT,PHORMMASC,PERFIL HORMONAL MASCULINO,PERFIL HORMONAL MASCULINO, 2 días,Quimioluminiscencia,Si,0.00,0.00,Masculino,Suero 2 mL. ,,,Alineado a la izquierda,,
394,1722,MICROAL,MICROALBUMINA 24 HRS.,MICROALBUMINA 24 HRS., 2 días,INMUNONEFELOMETRIA,Si,0.00,0.00,Ambos," Orina de 24 hrs, alícuota 10 mL. Indicar volumen total.",,,Alineado a la izquierda,#1a1515,
395,2072,CVVIH1,CARGA VIRAL VIH,CARGA VIRAL VIH, 7 días,RT-PCR TIEMPO REAL,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
396,1678,PERFILINM,PERFIL  INMUNOGLOBULINAS,PERFIL  INMUNOGLOBULINAS, 3 días,Espectrofotometría Automatizada,Si,0.00,0.00,Ambos,ENVIAR A ORTHIN. SUERO-TUBO DORADO,,,Alineado a la izquierda,,
398,2531,VITB12FOLATOS,VITAMINA B12 Y FOLATOS,VITAMINA B12 Y FOLATOS, 2 días,,Si,0.00,0.00,Ambos,"AYUNO, ANTES DE LAS 9 DE LA MAÑANA Y SE ENVIA A ORTHIN. PROCESO TARDA 2 DIAS",,,Alineado a la izquierda,,
399,582,ANTIPLAQUETAS,AC. ANTI PLAQUETAS (AC. AUTOLOGAS Y ALOGENICAS),AC. ANTI PLAQUETAS (AC. AUTOLOGAS Y ALOGENICAS), 8 días,Citometría de Flujo,Si,0.00,0.00,Ambos,TOMA DE MUESTRA DE TUBO DORADO Y VERDE (HEPARINA)\n\nCONFIRMAR CON 2 DIAS DE ANTICIPACION EL ESTUDIO YA QUE REQUIERE SOLICITAR MATERIAL A ORTHIN (TUBO \n\nCONFIRMAR CON 2 DIAS DE ANTICIPACION EL ESTUDIO YA QUE REQUIERE SOLICITAR MATERIAL A ORTHIN (TUBO VERDE-HEPARINA),,,Alineado a la izquierda,,
400,2034,PCRHEPATITISB,PCR CARGA VIRAL DE HEPATITIS B (HBV),PCR CARGA VIRAL DE HEPATITIS B (HBV), 10 días,PCR Tiempo Real,Si,0.00,0.00,Ambos,Muestra Única: plasma/EDTA Tubo lila (EDTA) (separar el plasma),,,Alineado a la izquierda,,
401,0310,CULTOTICO,CULTIVO OTICO IZQUIERDO,CULTIVO OTICO IZQUIERDO, 4 días,Cultivo Microbiológico,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
402,0310,CULTIOTICO,CULTIVO OTICO DERECHO,CULTIVO OTICO DERECHO, 4 días,Cultivo Microbiológico,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
,,,,,,,,,,,,,,,,
