,Tarifa: Conv Empresa A,,,
,,,,
Tipo,Código,Abreviatura,Descripción,Importe
Pruebas,405,ANTIB,ANTI BORRELIA,1065
Pruebas,1183,HELIIGM,ANTI HELICOBACTER PILORY IgM,555
Pruebas,HCV,HCV,ANTI HEPATITIS C TOTAL,645
Pruebas,ANTI RNA,ANTIRNA,ANTI RNA,1205
Pruebas,ANTITRY,ANTITRY,ANTI TRYPANOSOMA CRUZI,645
Pruebas,ASO,ASO,ANTI-ESTREPTOLISINA O,155
Pruebas,ANTICENTROMERO,ANTICENTROMERO,ANTICENTROMERO,780
Pruebas,ANTILUP,ANTILUPICO,ANTICOAGULANTE CIRCULATORIO LUPICO,0
Pruebas,ANTIMIELO,ANTIMIELO,ANTICUERPO INMUNOHISTOQUIMICO MIELOPEROXIDASA MPO,0
Pruebas,023PRIS,HPYLORI,ANTICUERPOS  DE HELICOBACTER PYLORI IgA,555
Pruebas,1992,GAD65,ANTICUERPOS ANTI ÃCIDO GLUTÃMICO DESCARBOXILASA (GAD-65),0
Pruebas,2362,ANTIACTINA,ANTICUERPOS ANTI ACTINA (IgG),0
Pruebas,57,AcAntiAgCoreHepaIgM,"ANTICUERPOS ANTI Ag ""CORE"" HEPATITIS B IgM",0
Pruebas,57,AcAntiAgCoreIgM,"ANTICUERPOS ANTI Ag ""CORE"" HEPATITIS B IgM",0
Pruebas,59,acAntihepaCpresun,ANTICUERPOS ANTI HEPATITIS C (PRUEBA PRESUNTIVA),0
Pruebas,425,PEROXI,ANTICUERPOS ANTI MICROSOMALES TOTALES (PEROXIDASA),495
Pruebas,894,ANA,ANTICUERPOS ANTI NUCLEARES (ANA),685
Pruebas,3465464,P31,Anticuerpos anti P 31,0
Pruebas,65456412,P51,Anticuerpos anti P 51,0
Pruebas,56456,P55,Anticuerpos anti P 55 (GAG),0
Pruebas,6542324,P66,Anticuerpos anti P 66,0
Pruebas,574,Sm,ANTICUERPOS ANTI SMITH IgG (Sm),555
Pruebas,65,TIRO,ANTICUERPOS ANTI TIROGLOBULINA (COLOIDE TIROIDEO),0
Pruebas,ANTITBS,ANTITBS,ANTICUERPOS ANTI TUBERCULOSIS IgG,0
Pruebas,ANTITB,ANTITB,ANTICUERPOS ANTI TUBERCULOSIS IgM,0
Pruebas,ZIKA,ZIKA,"ANTICUERPOS ANTI ZIKA IgM, IgG",2395
Pruebas,52,acacplaque,ANTICUERPOS ANTIPLAQUETARIOS,2320
Pruebas,921216,TB,"ANTICUERPOS ANTITUBERCULOSIS (IgG,IgM,IgA)",1010
Pruebas,11102022,IGGZIKA,ANTICUERPOS IGG,0
Pruebas,11102022,IGMZIKA,ANTICUERPOS IGM,0
Pruebas, SCL-70,SCL70,ANTICUERPOS SCL-70 (ESCLERODERMIA (TOPOISOMERASA),1035
Pruebas,53,AGEHB,"ANTIGENO ""E"" DE HEPATITIS B (AGEHB)",0
Pruebas,54,australia,"ANTIGENO ""S"" DE HEPATITIS B (AUSTRALIA)",0
Pruebas,5465,agaviario,Antigeno Aviario,1725
Pruebas,2405,CA724,ANTIGENO CA 72-4,780
Pruebas,CA-125,CA125,ANTIGENO CA-125,550
Pruebas,CA-15-3,CA153,ANTIGENO CA-15-3,570
Pruebas,ANTIGENO CA-19-9,CA199,ANTIGENO CA-19-9,540
Pruebas,611-ORT,ACE,ANTIGENO CARCINOEMBRIONARIO,390
Pruebas,2132,CYFRA21,ANTIGENO CYFRA 21,900
Pruebas,FPSA,FPSA,ANTIGENO ESPECIFICO DE PROSTATA FRACCION LIBRE,390
Pruebas,HE4,HE4,ANTIGENO HE4,2280
Pruebas,PSA,PSA,ANTIGENO PROSTATICO ESPECIFICO (PSA),390
Pruebas,2301,PSL,ANTIGENO PROSTATICO LIBRE,520
Pruebas,agcovid,agcovid,AntÃ­geno SARS-CoV-2 (NASOFARINGEO),495
Pruebas,1968,VONWILLEBRAND,ANTÃGENO VON WILLEBRAND,740
Pruebas,APLOHES,APLOHES,APLOTIPOS DE HEMOGLOBINA S,5240
Pruebas,ARGININA,ARGININA,ARGININA,0
Pruebas,ARGI B,ARGI,ARGININA,0
Pruebas,305,ARS,ARSENICO,880
Pruebas,9,ASTFEL,AST FELINO,0
Pruebas,AZURE,AZURE,AZUCARES REDUCTORES,245
Pruebas,BAAR 1,BAAR,BAAR 1 MUESTRA,135
Pruebas,BAAR 2,BAAR2,BAAR 2,125
Pruebas,BAAR3,BAAR3,BAAR3,125
Pruebas,54,B2MO,Beta 2 microglobulina en orina,975
Pruebas,1723,1723,Beta 2 microglobulina suero,775
Pruebas,BD,BD,BILIRRUBINA DIRECTA,90
Pruebas,6,BILDCAN,BILIRRUBINA DIRECTA CANINO,0
Pruebas,BT,BT,BILIRRUBINA TOTAL,90
Pruebas,5,BILTCAN,BILIRRUBINA TOTAL CANINO,0
Pruebas,5,BILTFEL,BILIRRUBINA TOTAL FELINO,0
Pruebas,BIOPQX,BIOPQX,BIOPSIA,2050
Pruebas,2149,biopprostata,BIOPSIA  DE PRÃ“STATA,1790
Pruebas,BIO,BIOAPE,BIOPSIA APENDICE,1790
Pruebas,337,BIOPCH,BIOPSIA CHICA,1455
Pruebas,BIOB,BIOB,BIOPSIA DE CÃ‰RVIX,1790
Pruebas,BIOCOLO,BIOCOLO,BIOPSIA DE COLON,2050
Pruebas,Biopsiaendometrio,Biopsiae,Biopsia de endometrio,1790
Pruebas,123458025,BIOPENDO,BIOPSIA DE ENDOMETRIO,1790
Pruebas,BIOMAMA,BIOMAMA,BIOPSIA DE GLÃNDULA MAMARIA,2525
Pruebas,7894,BIOPIEL,BIOPSIA DE PIEL (FRAGMENTO DE TEJIDO),1790
Pruebas,BIO,BIO,BIOPSIA DE SIGMOIDES RESIDUAL Y APENDICE,3215
Pruebas,603,BIOENDO,BIOPSIA ENDOSCOPICA,1120
Pruebas,10102020,BIOPFRAGMA,BIOPSIA FRAGMENTO DE MAMA,1790
Pruebas,2308,BIOPGRAN,BIOPSIA GRANDE,1850
Pruebas,340,BIOPMEDIANA,BIOPSIA MEDIANA,1680
Pruebas,2057-OTH,BIOPESP,BIOPSIA ORGANO ESPECIAL,3025
Pruebas,2100,BIOPSIA,BIOPSIA PIEZA ESPECIAL,2770
Pruebas,2153,BIOPARAFINA,BIOPSIA REVISION DE BLOQUE DE PARAFINA,1600
Pruebas,BIOPUTE,BIOPUTE,BIOPSIA UTERO,2910
Pruebas,BIOVESI,BIOVESI,BIOPSIA VESÃCULA BILIAR,1790
Pruebas,BIOTINIDASA,BIOTINIDASA,BIOTINIDASA,0
Pruebas,171,BUN,BUN,0
Pruebas,ORT24,ANCA7PR3,c-ANCA/PR3 (PROTEINASA 3),0
Pruebas,C0,C0,C0,0
Pruebas,C10,C10,C10,0
Pruebas,C10:1,C101,C10:1,0
Pruebas,C10:2,C102,C10:2,0
Pruebas,C12,C12,C12,0
Pruebas,C14,C14,C14,0
Pruebas,C14 HIDROXI,C14HIDROXI,C14 HIDROXI,0
Pruebas,C14:1,C141,C14:1,0
Pruebas,C14:2,CC14,C14:2,0
Pruebas,C14:2 TETRADECADIENOIL,C142,C14:2 TETRADECADIENOILCARNITINA,0
Pruebas,C16,C16,C16,0
Pruebas,C16 HIDROXI,C16OH,C16 HIDROXI,0
Pruebas,C16:1,C161,C16:1,0
Pruebas,C18,C18,C18,0
Pruebas,C18 HIDROXI,C18HIDROXI,C18 HIDROXI,0
Pruebas,C18:1,C181,C18:1,0
Pruebas,C18:1 HIDROXI,C181HIDROXI,C18:1 HIDROXI,0
Pruebas,C18:2,C182,C18:2,0
Pruebas,C2,C2,C2,0
Pruebas,C3,C3,C3,0
Pruebas,C3DCC4,C3DCC4OH,C3-DC-C4-OH MALONILCARNITINA/3 -HIDROXI-BUTIRILCARNITINA,0
Pruebas,C4,C4,C4,0
Pruebas,C4DC5OH,C4DC5OH,C4 DICARBOXILICO-C5 OH,0
Pruebas,C5,C5,C5,0
Pruebas,C5- DICARBOXILICO,C5DICARBOXILICO,C5-DICARBOXILICO,0
Pruebas,C5:1,CC51,C5:1,0
Pruebas,C6,C6,C6,0
Pruebas,C6- DICARBOXILICO,C6DICARBOXILICO,C6-DICARBOXILICO,0
Pruebas,C8,C8,C8,0
Pruebas,305,CD,CADMIO,880
Pruebas,CA S,CAS,CALCIO,170
Pruebas,calor,calor,calcio en orina 24 hrs,170
Pruebas,646468,CALUR24,CALCIO EN ORINA DE 24 HRS.,170
Pruebas,3-ORT,Cal,CALCITONINA,650
Pruebas,3003,CPLPH,Calprotectina (HCP,740
Pruebas,9,FIJACIONHIERRO,Capacidad total de fijaciÃ³n de hierro,425
Pruebas,10,carba,Carbamacepina (Tegretol),505
Pruebas,2072,CVVIH,CARGA VIRAL VIH,0
Pruebas,183,CARIOS,CARIOTIPO EN SANGRE PERIFERICA (CON FOTOGRAFIA),0
Pruebas,14,CLE,CELULAS L.E.,335
Pruebas,ERHYSERW,RTHWS,CERTIFICADO,65
Pruebas,1217,ceruro,Ceruloplasmina en suero,850
Pruebas,3007,CHLAMY,CHLAMYDIA TRACHOMATIS,0
Pruebas,15,ciclo,Ciclosporina,1325
Pruebas,Cistatina,Cistatina,Cistatina C,1295
Pruebas,CISTE B,CISTE,CISTEINA,0
Pruebas,10001,CITOBALIQ,CITOLOGIA EN BASE LIQUIDA,710
Pruebas,16,CMF,CITOLOGIA MOCO FECAL,245
Pruebas,PIM4128CT,PIM4128CT,CITOLOGIA URETRAL (PAPANNICOLAOU),0
Pruebas,IgGCMV,IgGCMV,CITOMEGALOVIRUS IgG,580
Pruebas,IgMCMV,IgMCMV,CITOMEGALOVIRUS IgM,580
Pruebas,cdv,dsfgvsd,CITRATO EN ORINA DE 24 HRS,920
Pruebas,2199,2199,Citrato en orina de 24 hrs.,0
Pruebas,CITRULINA,CITRULINA,CITRULINA,0
Pruebas,CITRU B,CITRU,CITRULINA,0
Pruebas,23,CLONA,Clonazepan en suero (Rivotril),1150
Pruebas,26,clo,Cloro en orina,180
Pruebas,25,cl,CLORO SÃ‰RICO,195
Pruebas,234654,cuorina,Cobre en orina,715
Pruebas,COEFAT,COEFAT,COEFICIENTE ATEROGÃ‰NICO,0
Pruebas,34,col,COLESTEROL,90
Pruebas,4,COLCAN,COLESTEROL CANINO,0
Pruebas,31,CHDL,Colesterol de alta densidad (HDL),235
Pruebas,32,CLDL,Colesterol de baja densidad (LDL),235
Pruebas,4,COLFEL,COLESTEROL FELINO,0
Pruebas,COLVLDL,COLVLDL,COLESTEROL VLDL,235
Pruebas,37,ci,Complejos inmunes,550
Pruebas,38,cc3,Complemento C-3,245
Pruebas,39,cc4,Complemento C-4,245
Pruebas,13,cc5,Complemento C-5,245
Pruebas,40,ch50,Complemento hemolÃ­tico 50%,750
Pruebas,42,Coomi,Coombs indirecto,325
Pruebas,41-ORT,cdrh,COOMS DIRECTO (Ac. Anti Rh eritrocitarios),325
Pruebas,COPRO,COPRO,COPROCULTIVO,495
Pruebas,43,cps1,CoproparasitoscÃ³pico 1,135
Pruebas,44,CPS2,CoproparasitoscÃ³pico 2,135
Pruebas,45,CPS3,CoproparasitoscÃ³pico 3,135
Pruebas,3334,CORO229E,CORONAVIRUS 229E,0
Pruebas,COR,COR,CORTISOL,285
Pruebas,CPK-MB,CPKMB,CPK-MB,615
Pruebas,48,CPK,Creatinfosfoquinasa (CPK),310
Pruebas,3,CREATCAN,CREATININA CANINO,0
Pruebas,3,CREAFEL,CREATININA FELINO,0
Pruebas,50,CRE,Creatinina sÃ©rica,55
Pruebas,55,CrioglOb,Crio globulinas,235
Pruebas,CROMO,CRM,CROMO EN SUERO,1420
Pruebas,CHGC,CHGC,CUANTIFICACION BETA GONADOTROFINA CORIONICA,455
Pruebas,CULTIVODEEXP,CULTIVODEEXP,CULTIVO DE EXPECTORACION,495
Pruebas,CULHO,CULHO,CULTIVO DE HONGOS,495
Pruebas,CULL,CUL,CULTIVO DE LESION,495
Pruebas,1001,CULTIVLIQ,CULTIVO DE LIQUIDO,495
Pruebas,CULLIQ,CULLIQ,CULTIVO DE LIQUIDOS,515
Pruebas,CULTIBAC,CULTIBAC,CULTIVO MICOBACTERIA TUBERCULOSIS,1035
Pruebas,1230,CULTOTIC,CULTIVO OTICO,495
Pruebas,60-ORT,DEHIDRO,DEHIDROEPIANDROSTERONA (DHEA),500
Pruebas,61,DHEAS,Dehidroepiandrosterona sulfato (DHEA-S),585
Pruebas,DHEA,DHEA,DESHIDROEPIANDROSTERONA,590
Pruebas,63,DHL,Deshidrogenasa lÃ¡ctica (DHL),170
Pruebas,HLAB27,HLAB27,DetecciÃ³n AntÃ­geno HLA B-27,990
Pruebas,DEV01,DEV01,DEVOLUCIÃ“N DE VENTA,0
Pruebas,65,DFE,Difenilhidantoina (FenitoÃ­na),440
Pruebas,66,dig,Digoxina,505
Pruebas,BB,DIMER,DIMERO D,775
Pruebas,EKG,EKG,ELECTROCARDIOGRAMA,455
Pruebas,ELEHEM,ELEHEM,ELECTROFORESIS DE HEMOGLOBINA,3225
Pruebas,786,NSE,ENOLASA NEURONAL ESPECIFICA,1355
Pruebas,73,EOSIMO,EosinÃ³filos en moco nasal,180
Pruebas,ESPERCUL,ESPERCUL,ESPERMOCULTIVO,495
Pruebas,77,e2,Estradiol (E2),330
Pruebas,78,esnc,Estriol sÃ©rico no conjugado,375
Pruebas,ET,ET,ESTROGENOS TOTALES,455
Pruebas,EXFAR,EXFAR,EXUDADO FARINGEO,495
Pruebas,EXUNAS,EXUNAS,EXUDADO NASAL,495
Pruebas,EXUOT,EXUOT,EXUDADO OCULAR,495
Pruebas,EXUURE,EXUURE,EXUDADO URETRAL,495
Pruebas,EXUVAG,EXUVAG,EXUDADO VAGINAL,495
Pruebas,EXUVUL,EXUVUL,EXUDADO VULVAR,495
Pruebas,85,FR,Factor reumatoide,185
Pruebas,1771,FACTORCOAGULACION,FACTOR VIII DE LA COAGULACION,370
Pruebas,2250,FACWILLE,Factor Von Willebrand (funciÃ³n)*,2200
Pruebas,FENILA B,FENILAL,FENILALANINA,0
Pruebas,FENILALANINA,FENILALANINA,FENILALANINA,0
Pruebas,86,fen,Fenobarbital,635
Pruebas,87-OT,Ferri,Ferritina,650
Pruebas,88,FIB,FIBRINOGENO,455
